Anzahl		Stiftnummer
4010		91
3862		1
1852		19
564		2
494		41
372		24
310		136
208		25
196		15
194		4
180		-1
150		131
130		0
124		3
108		6
108		13
72		66
70		110
70		130
56		77
56		14
52		62
42		5
38		46
34		7
24		109
24		65
16		69
16		10
16		90
14		44
14		104
14		108
14		128
10		43
10		21
8		8
8		125
6		27
6		111
6		30
6		35
6		122
6		11
4		100
4		86
4		71
4		70
4		94
4		92
4		85
2		171
2		105
2		16
